"","V1","V2"
"1","ELL2","MED13"
"2","ELL2","MED22"
"3","ELL2","MED20"
"4","ELL2","FBL"
"5","ELL2","SNRPD1"
"6","ELL2","NUMA1"
"7","ELL2","POLR2A"
"8","ELL2","NOP58"
"9","ELL2","POLR2J"
"10","ELL2","POLR2L"
"11","ELL2","RSL1D1"
"12","ELL2","MED1"
"13","ELL2","MED24"
"14","ELL2","DDX31"
"15","ELL2","MED6"
"16","ELL2","POLR2D"
"17","ELL2","POLR2G"
"18","ELL2","RPAP2"
"19","ELL2","POLR2E"
"20","ELL2","POLR2F"
"21","ELL2","MED12"
"22","ELL2","MED14"
"23","ELL2","MED15"
"24","ELL2","MED8"
"25","ELL2","ACIN1"
"26","ELL2","BAG2"
"27","ELL2","CCNC"
"28","ELL2","CDC23"
"29","ELL2","CDK19"
"30","ELL2","CDK8"
"31","ELL2","CHD9"
"32","ELL2","DDX21"
"33","ELL2","DNALI1"
"34","ELL2","MED11"
"35","ELL2","MED16"
"36","ELL2","MED21"
"37","ELL2","MED4"
"38","ELL2","MED9"
"39","ELL2","NOLC1"
"40","ELL2","PNN"
"41","ELL2","RANGAP1"
"42","ELL2","RBM39"
"43","ELL2","TCOF1"
"44","ELL2","UBR5"
"45","ELL2","UBTF"
"46","ELL2","ANAPC2"
"47","ELL2","DNM2"
"48","ELL2","HDAC6"
"49","ELL2","HNRNPM"
"50","ELL2","POLR2H"
"51","ELL2","POLR2K"
"52","ELL2","POLR2C"
"53","ELL2","POLR2I"
"54","ELL2","DDB1"
"55","ELL2","MED31"
"56","ELL2","AHCTF1"
"57","ELL2","ANAPC1"
"58","ELL2","CCAR1"
"59","ELL2","DDX50"
"60","ELL2","DNAJA1"
"61","ELL2","GCOM1"
"62","ELL2","GPN3"
"63","ELL2","HCFC1"
"64","ELL2","KANSL3"
"65","ELL2","LEPRE1"
"66","ELL2","LUC7L3"
"67","ELL2","MED10"
"68","ELL2","MED13L"
"69","ELL2","MED17"
"70","ELL2","MED19"
"71","ELL2","MED25"
"72","ELL2","MED26"
"73","ELL2","MED27"
"74","ELL2","MED28"
"75","ELL2","MED30"
"76","ELL2","MED7"
"77","ELL2","NOL8"
"78","ELL2","P4HB"
"79","ELL2","PPIG"
"80","ELL2","PRPF4B"
"81","ELL2","RECQL5"
"82","ELL2","SMN1"
"83","ELL2","SMN2"
"84","ELL2","SRSF3"
"85","ELL2","TARDBP"
