"","V1","V2"
"1","MAP4K5","CSNK1G3"
"2","MAP4K5","TBK1"
"3","MAP4K5","SEC16A"
"4","MAP4K5","RPS6KA3"
"5","MAP4K5","HIPK1"
"6","MAP4K5","NEK9"
"7","MAP4K5","TAOK3"
"8","MAP4K5","PIP4K2C"
"9","MAP4K5","TAOK1"
"10","MAP4K5","HCK"
"11","MAP4K5","RIPK2"
"12","MAP4K5","CDK1"
"13","MAP4K5","TMX1"
"14","MAP4K5","MAPK9"
"15","MAP4K5","PRKCB"
"16","MAP4K5","AAK1"
"17","MAP4K5","ABL1"
"18","MAP4K5","ABL2"
"19","MAP4K5","ACOX3"
"20","MAP4K5","ACTN4"
"21","MAP4K5","ACVR1"
"22","MAP4K5","ACVR1B"
"23","MAP4K5","ACVR2B"
"24","MAP4K5","ADCK3"
"25","MAP4K5","ADK"
"26","MAP4K5","ALDOA"
"27","MAP4K5","ALPK3"
"28","MAP4K5","ANAPC5"
"29","MAP4K5","ANAPC7"
"30","MAP4K5","ANP32A"
"31","MAP4K5","AP2A1"
"32","MAP4K5","AP2B1"
"33","MAP4K5","AP2M1"
"34","MAP4K5","ARAF"
"35","MAP4K5","ATAD3B"
"36","MAP4K5","ATF2"
"37","MAP4K5","ATP5B"
"38","MAP4K5","ATP5C1"
"39","MAP4K5","AURKB"
"40","MAP4K5","AZI2"
"41","MAP4K5","BMPR1A"
"42","MAP4K5","BRD3"
"43","MAP4K5","BTK"
"44","MAP4K5","C2CD5"
"45","MAP4K5","CAMK2B"
"46","MAP4K5","CAMK2G"
"47","MAP4K5","CAMKK2"
"48","MAP4K5","CDK12"
"49","MAP4K5","CDK2"
"50","MAP4K5","CLK1"
"51","MAP4K5","CSNK1D"
"52","MAP4K5","CSNK1E"
"53","MAP4K5","CSNK2A1"
"54","MAP4K5","CSNK2B"
"55","MAP4K5","DOK1"
"56","MAP4K5","DOK2"
"57","MAP4K5","DYRK1A"
"58","MAP4K5","EIF2AK4"
"59","MAP4K5","EIF3J"
"60","MAP4K5","EPHA7"
"61","MAP4K5","EPHB1"
"62","MAP4K5","EPHB4"
"63","MAP4K5","FER"
"64","MAP4K5","FGFR1"
"65","MAP4K5","FRYL"
"66","MAP4K5","FYN"
"67","MAP4K5","GAK"
"68","MAP4K5","GRAMD1A"
"69","MAP4K5","GSK3A"
"70","MAP4K5","INPPL1"
"71","MAP4K5","JAK1"
"72","MAP4K5","JAK2"
"73","MAP4K5","KIAA0195"
"74","MAP4K5","KIT"
"75","MAP4K5","MAP2K2"
"76","MAP4K5","MAP3K11"
"77","MAP4K5","MAP3K3"
"78","MAP4K5","MAP4K2"
"79","MAP4K5","MAPK1"
"80","MAP4K5","MAPK14"
"81","MAP4K5","MAPK3"
"82","MAP4K5","MAPK6"
"83","MAP4K5","MARK2"
"84","MAP4K5","MARK3"
"85","MAP4K5","MARK4"
"86","MAP4K5","MELK"
"87","MAP4K5","MLLT1"
"88","MAP4K5","MNAT1"
"89","MAP4K5","NEK11"
"90","MAP4K5","NLK"
"91","MAP4K5","PAK4"
"92","MAP4K5","PDE4A"
"93","MAP4K5","PDHA1"
"94","MAP4K5","PKN1"
"95","MAP4K5","PKN3"
"96","MAP4K5","PLK4"
"97","MAP4K5","PRKAA1"
"98","MAP4K5","PRKAB2"
"99","MAP4K5","PRKD2"
"100","MAP4K5","PTK2"
"101","MAP4K5","PTK2B"
"102","MAP4K5","PTPN18"
"103","MAP4K5","SHC1"
"104","MAP4K5","SIK2"
"105","MAP4K5","SIK3"
"106","MAP4K5","SPEG"
"107","MAP4K5","SRC"
"108","MAP4K5","SRRM1"
"109","MAP4K5","SRRM2"
"110","MAP4K5","SSB"
"111","MAP4K5","STK16"
"112","MAP4K5","SYK"
"113","MAP4K5","TANK"
"114","MAP4K5","TBKBP1"
"115","MAP4K5","TEC"
"116","MAP4K5","TESK2"
"117","MAP4K5","TNFRSF14"
"118","MAP4K5","TNK2"
"119","MAP4K5","TTN"
"120","MAP4K5","TUBA1B"
"121","MAP4K5","TYK2"
"122","MAP4K5","ULK3"
"123","MAP4K5","YES1"
"124","MAP4K5","ENSG00000206406"
"125","MAP4K5","ENSG00000105216"
"126","MAP4K5","ENSG00000121031"
"127","MAP4K5","ENSG00000147507"
"128","MAP4K5","ENSG00000206300"
"129","MAP4K5","CSNK2A2"
"130","MAP4K5","MAPK10"
"131","MAP4K5","ANXA2"
"132","MAP4K5","ADAM28"
"133","MAP4K5","AFF4"
"134","MAP4K5","ATP5A1"
"135","MAP4K5","AURKA"
"136","MAP4K5","BMP2K"
"137","MAP4K5","CCNH"
"138","MAP4K5","CDK5"
"139","MAP4K5","CDK7"
"140","MAP4K5","CDK9"
"141","MAP4K5","CSK"
"142","MAP4K5","CSNK1A1"
"143","MAP4K5","DCK"
"144","MAP4K5","DCTPP1"
"145","MAP4K5","DDR1"
"146","MAP4K5","EIF2AK1"
"147","MAP4K5","EPHB2"
"148","MAP4K5","FAM83A"
"149","MAP4K5","G3BP1"
"150","MAP4K5","GSK3B"
"151","MAP4K5","HRNR"
"152","MAP4K5","LIMK1"
"153","MAP4K5","LIMK2"
"154","MAP4K5","MAP3K2"
"155","MAP4K5","MAP3K4"
"156","MAP4K5","NCK2"
"157","MAP4K5","NTRK1"
"158","MAP4K5","PDPK1"
"159","MAP4K5","PKMYT1"
"160","MAP4K5","PRKAB1"
"161","MAP4K5","PRKCA"
"162","MAP4K5","PRKCD"
"163","MAP4K5","PRKCQ"
"164","MAP4K5","RPS6KA1"
"165","MAP4K5","TGFBR1"
"166","MAP4K5","TNIK"
"167","MAP4K5","TNK1"
"168","MAP4K5","WEE1"
"169","MAP4K5","ENSG00000091436"
"170","MAP4K5","ENSG00000137332"
"171","MAP4K5","ADCK1"
"172","MAP4K5","BRAF"
"173","MAP4K5","CAMK2D"
"174","MAP4K5","GAPVD1"
"175","MAP4K5","NQO2"
"176","MAP4K5","RPS6KA2"
"177","MAP4K5","ENSG00000215522"
"178","MAP4K5","GFPT1"
"179","MAP4K5","SLK"
"180","CSNK1G3","TBK1"
"181","CSNK1G3","SEC16A"
"182","CSNK1G3","RPS6KA3"
"183","CSNK1G3","HIPK1"
"184","CSNK1G3","NEK9"
"185","CSNK1G3","TAOK3"
"186","CSNK1G3","ROCK2"
"187","CSNK1G3","PIP4K2C"
"188","CSNK1G3","TAOK1"
"189","CSNK1G3","HCK"
"190","CSNK1G3","RIPK2"
"191","CSNK1G3","CDK1"
"192","CSNK1G3","TMX1"
"193","CSNK1G3","MAPK9"
"194","CSNK1G3","PRKCB"
"195","CSNK1G3","EPHA5"
"196","CSNK1G3","AAK1"
"197","CSNK1G3","ABL1"
"198","CSNK1G3","ABL2"
"199","CSNK1G3","ACOX3"
"200","CSNK1G3","ACTN4"
"201","CSNK1G3","ACVR1"
"202","CSNK1G3","ACVR1B"
"203","CSNK1G3","ACVR2B"
"204","CSNK1G3","ADCK3"
"205","CSNK1G3","ADK"
"206","CSNK1G3","ALDOA"
"207","CSNK1G3","ALPK3"
"208","CSNK1G3","ANAPC5"
"209","CSNK1G3","ANAPC7"
"210","CSNK1G3","ANP32A"
"211","CSNK1G3","AP2A1"
"212","CSNK1G3","AP2B1"
"213","CSNK1G3","AP2M1"
"214","CSNK1G3","ARAF"
"215","CSNK1G3","ATAD3B"
"216","CSNK1G3","ATF2"
"217","CSNK1G3","ATP5B"
"218","CSNK1G3","ATP5C1"
"219","CSNK1G3","AURKB"
"220","CSNK1G3","AZI2"
"221","CSNK1G3","BMPR1A"
"222","CSNK1G3","BRD3"
"223","CSNK1G3","BTK"
"224","CSNK1G3","C2CD5"
"225","CSNK1G3","CAMK2A"
"226","CSNK1G3","CAMK2B"
"227","CSNK1G3","CAMK2G"
"228","CSNK1G3","CAMKK2"
"229","CSNK1G3","CDK12"
"230","CSNK1G3","CDK2"
"231","CSNK1G3","CLK1"
"232","CSNK1G3","CSNK1D"
"233","CSNK1G3","CSNK1E"
"234","CSNK1G3","CSNK2A1"
"235","CSNK1G3","CSNK2B"
"236","CSNK1G3","DOK1"
"237","CSNK1G3","DOK2"
"238","CSNK1G3","DYRK1A"
"239","CSNK1G3","EIF2AK4"
"240","CSNK1G3","EIF3J"
"241","CSNK1G3","EPHA7"
"242","CSNK1G3","EPHB1"
"243","CSNK1G3","EPHB4"
"244","CSNK1G3","FER"
"245","CSNK1G3","FGFR1"
"246","CSNK1G3","FRYL"
"247","CSNK1G3","FYN"
"248","CSNK1G3","GAK"
"249","CSNK1G3","GRAMD1A"
"250","CSNK1G3","GSK3A"
"251","CSNK1G3","INPPL1"
"252","CSNK1G3","INSR"
"253","CSNK1G3","JAK1"
"254","CSNK1G3","JAK2"
"255","CSNK1G3","KIAA0195"
"256","CSNK1G3","KIT"
"257","CSNK1G3","MAP2K2"
"258","CSNK1G3","MAP3K11"
"259","CSNK1G3","MAP3K3"
"260","CSNK1G3","MAP4K2"
"261","CSNK1G3","MAPK1"
"262","CSNK1G3","MAPK14"
"263","CSNK1G3","MAPK3"
"264","CSNK1G3","MAPK6"
"265","CSNK1G3","MARK2"
"266","CSNK1G3","MARK3"
"267","CSNK1G3","MARK4"
"268","CSNK1G3","MELK"
"269","CSNK1G3","MLLT1"
"270","CSNK1G3","MNAT1"
"271","CSNK1G3","MTOR"
"272","CSNK1G3","NEK11"
"273","CSNK1G3","NLK"
"274","CSNK1G3","PAK4"
"275","CSNK1G3","PDE4A"
"276","CSNK1G3","PDHA1"
"277","CSNK1G3","PHKG2"
"278","CSNK1G3","PKN1"
"279","CSNK1G3","PKN3"
"280","CSNK1G3","PLK4"
"281","CSNK1G3","PRKAA1"
"282","CSNK1G3","PRKAB2"
"283","CSNK1G3","PRKD2"
"284","CSNK1G3","PTK2"
"285","CSNK1G3","PTK2B"
"286","CSNK1G3","PTPN18"
"287","CSNK1G3","RPS6KA4"
"288","CSNK1G3","SHC1"
"289","CSNK1G3","SIK2"
"290","CSNK1G3","SIK3"
"291","CSNK1G3","SPEG"
"292","CSNK1G3","SRC"
"293","CSNK1G3","SRRM1"
"294","CSNK1G3","SRRM2"
"295","CSNK1G3","SSB"
"296","CSNK1G3","STK16"
"297","CSNK1G3","SYK"
"298","CSNK1G3","TANK"
"299","CSNK1G3","TBKBP1"
"300","CSNK1G3","TEC"
"301","CSNK1G3","TESK2"
"302","CSNK1G3","TNFRSF14"
"303","CSNK1G3","TNK2"
"304","CSNK1G3","TTN"
"305","CSNK1G3","TUBA1B"
"306","CSNK1G3","TYK2"
"307","CSNK1G3","ULK3"
"308","CSNK1G3","YES1"
"309","CSNK1G3","ENSG00000206406"
"310","CSNK1G3","ENSG00000105216"
"311","CSNK1G3","ENSG00000121031"
"312","CSNK1G3","ENSG00000147507"
"313","CSNK1G3","ENSG00000206300"
"314","CSNK1G3","ATM"
"315","CSNK1G3","ATR"
"316","CSNK1G3","CSNK2A2"
"317","CSNK1G3","BLK"
"318","CSNK1G3","ENSG00000108504"
"319","CSNK1G3","CSNK1G1"
"320","CSNK1G3","EPHB3"
"321","CSNK1G3","FGR"
"322","CSNK1G3","PIK3C2A"
"323","CSNK1G3","SGK1"
"324","CSNK1G3","ANXA2"
"325","CSNK1G3","EPHA2"
"326","CSNK1G3","ADAM28"
"327","CSNK1G3","AFF4"
"328","CSNK1G3","ATP5A1"
"329","CSNK1G3","AURKA"
"330","CSNK1G3","BMP2K"
"331","CSNK1G3","BRD4"
"332","CSNK1G3","CCNH"
"333","CSNK1G3","CDK5"
"334","CSNK1G3","CDK7"
"335","CSNK1G3","CDK9"
"336","CSNK1G3","CSK"
"337","CSNK1G3","CSNK1A1"
"338","CSNK1G3","DCK"
"339","CSNK1G3","DCTPP1"
"340","CSNK1G3","DDR1"
"341","CSNK1G3","EIF2AK1"
"342","CSNK1G3","EPHB2"
"343","CSNK1G3","FAM83A"
"344","CSNK1G3","G3BP1"
"345","CSNK1G3","GSK3B"
"346","CSNK1G3","HRNR"
"347","CSNK1G3","LIMK1"
"348","CSNK1G3","LIMK2"
"349","CSNK1G3","MAP3K2"
"350","CSNK1G3","MAP3K4"
"351","CSNK1G3","NCK2"
"352","CSNK1G3","NTRK1"
"353","CSNK1G3","PDPK1"
"354","CSNK1G3","PKMYT1"
"355","CSNK1G3","PRKAB1"
"356","CSNK1G3","PRKCA"
"357","CSNK1G3","PRKCD"
"358","CSNK1G3","PRKCQ"
"359","CSNK1G3","RPS6KA1"
"360","CSNK1G3","TGFBR1"
"361","CSNK1G3","TNIK"
"362","CSNK1G3","TNK1"
"363","CSNK1G3","WEE1"
"364","CSNK1G3","ENSG00000091436"
"365","CSNK1G3","ENSG00000137332"
"366","CSNK1G3","ADCK1"
"367","CSNK1G3","BRAF"
"368","CSNK1G3","CAMK2D"
"369","CSNK1G3","GAPVD1"
"370","CSNK1G3","NQO2"
"371","CSNK1G3","RPS6KA2"
"372","CSNK1G3","PRKCG"
"373","CSNK1G3","IGF1R"
"374","CSNK1G3","ASNSD1"
"375","CSNK1G3","CSNK1A1L"
"376","CSNK1G3","CSNK1G2"
"377","CSNK1G3","MAPK15"
"378","CSNK1G3","RPS6KA6"
"379","CSNK1G3","PPP1R14A"
"380","CSNK1G3","FES"
"381","CSNK1G3","ENSG00000215522"
"382","CSNK1G3","GFPT1"
"383","CSNK1G3","SLK"
"384","TBK1","SEC16A"
"385","TBK1","RPS6KA3"
"386","TBK1","HIPK1"
"387","TBK1","NEK9"
"388","TBK1","TAOK3"
"389","TBK1","ROCK2"
"390","TBK1","PIP4K2C"
"391","TBK1","TAOK1"
"392","TBK1","HCK"
"393","TBK1","RIPK2"
"394","TBK1","CDK1"
"395","TBK1","TMX1"
"396","TBK1","MAPK9"
"397","TBK1","PRKCB"
"398","TBK1","STK4"
"399","TBK1","EPHA5"
"400","TBK1","AAK1"
"401","TBK1","ABL1"
"402","TBK1","ABL2"
"403","TBK1","ACOX3"
"404","TBK1","ACTN4"
"405","TBK1","ACVR1"
"406","TBK1","ACVR1B"
"407","TBK1","ACVR2B"
"408","TBK1","ADCK3"
"409","TBK1","ADK"
"410","TBK1","ALDOA"
"411","TBK1","ALPK3"
"412","TBK1","ANAPC5"
"413","TBK1","ANAPC7"
"414","TBK1","ANP32A"
"415","TBK1","AP2A1"
"416","TBK1","AP2B1"
"417","TBK1","AP2M1"
"418","TBK1","ARAF"
"419","TBK1","ATAD3B"
"420","TBK1","ATF2"
